insult,desc,eng,visible,region
"Ca t'puozza scap'collà","Che la tua testa si possa staccare dal collo","May your head detach from the neck",0,1
"Ca t'puozza venì la sciorda a ventaglio","Che ti possa venire la dissenteria","May you get dysentery",0,1
"Coccia 'r pruvulon","Testa di provolone (stupido)","Provolone-cheese head (stupid)",0,1
"Ma vir addò t' n'ara ì","Ma vedi dove devi andare","Go check where you have to go (fuck off)",0,1
"Mo t' tir' nu leccamuss'","Adesso ti tiro un lecca-muso (schiaffo)","I'm about to give you a face-lick (a slap)",0,1
"Muss 'r puorc","Muso di porco (brutto)","Pig face (ugly)",0,1
"piccul e mal cavat","piccolo e mal cresciuto (maleducato)","small and poorly raised (badly behaved)",1,1
"Puozza ittà ru sang","Che tu possa sputare sangue","May you spit blood",0,1
"Sí fatt' ru cul com' a 'na valig'","Hai un culo grosso come una valigia","You're ass is as big as a luggage",0,1
"T'azzecc du' sard'llin","Ti tiro due schiaffoni","I'll give you two slaps",0,1
"T' puozza schiattà n'guorp","Ti possa scoppiare il corpo","May your body blow up",0,1
"T' reng' nu' s'nistr che p' t' rà ru' destr' t'a v'ní a c'rcá a Cercemaggior'","Ti do un sinistro che per darti il destro ti vengo a cercare a Cercemaggiore","I'll hit you with my left and then to hit you with my right I have to come look for you in Cercemaggiore",0,1
"T' sfraff 'r sang'","Ti macchio di sangue (il tuo)","I'll stain you with blood (your own)",0,1
"Vatt a r'pon","Vai a riporti (vai via)","Go back where you came from",1,1
"Vatt a fa na pomb","Vai a masturbarti","Go wank",0,1
"Vatt'a ratta","Vai a grattarti","Go scratch yourself",0,1
"Vid d' n'n c' romb' ru cazz'","Vedi di non rompere il cazzo","Don't break our dick (fuck off)",0,1
Chabrabuc,Capra,Goat,0,19
Embecil,Imbecille,Imbecil,0,19
Farinel,Brigante,Bandit,0,19
"iturdí",rincoglionito,Stoned,1,19
"Vei te scià","Vai a quel paese","Fuck off",0,19
"t u puzza pgjá ngul","che tu possa prenderlo in culo","may you get it in the ass",0,3
"ambie a dat papine a dò a dò fin quan che le dienta dispari","Ti do due schiaffoni alla volta finché non diventano dispari","I'll give you slaps two by two until they become odd",0,10
babbi,rincoglionito,stoned,0,10
Balabiott,Nullafacente,Lazy,0,10
"Caghèt ados e po dopo bala","Cacati nelle mutande e poi balla","Poo in your pants and then dance",0,10
"Càsciabàll",Bugiardo,Liar,1,10
"Facia da cul de can da cacia","Faccia da culo come un cane da caccia","Assface like a hound dog",0,10
"Facia da tola","Faccia di latta (falso)","Tin face (false person)",0,10
"Gratacù",Antipatico,Unpleasant,0,10
Logia!,Puttana!,Whore!,0,10
"Ma va a ciapal in del lisca!","Ma vai a prenderlo in culo!","Go get it in your ass",0,10
"Mena no el turun!","Non parlare a vanvera!","Don't say stupid things",0,10
"Pastrügnùn",Pasticcione,Blunderer,1,10
Pelabrocch,"Pulisci rami (buono a nulla)","Tree branch cleaner (good for nothing)",0,10
Piciu,"Testa di cazzo",Dickhead,0,10
Pulentatt,"Polentone (lento)","Polentone (slow)",0,10
"ta do 'n pign sol co' che ta fo s-ciopà le scarpe","ti do un pugno in testa che ti fa scoppiare le scarpe","I'll punch you on your head and your shoes will blow up",0,10
"ta do 'n sbirlù che da che a i ta aresta per vagabondaggio","Ti do una sberla che ti arrestano per vagabondaggio","",0,10
"ta do 'n sbirlù che quan che ta smetet de pirlà i tò istich yè pasach de moda","Ti do una sberla che quando ti fermi di girare i vestiti sono passati di moda","I'll slap you so much that when you stop rolling your clothes are out of fashion",0,10
"ta parchegie na mà sol mus e po' dopo fo manovra","ti parcheggio una mano in faccia e poi faccio manovra!","",1,10
"Te ghè ciapà la vaca per i ball","Hai acchiappato la vacca per i testicoli (stai facendo un lavoro sbagliato)","You grabbed the cow by the balls (you're doing it wrong)",0,10
"Te se propri un pirla!","Sei proprio un cretino","You are so nitwit",0,10
"Te se' curiuus 'me 'l ma' de ventar","Sei curioso come il mal di pancia","You are curious like bellyache",0,10
"Te se' malà in duè te se' petenat","Sei malato dove ti pettini (sei pazzo)","You are sick where you comb yourself (you're crazy)",0,10
"Te se' püsè föra d'un vas da gerani","Sei più fuori di un vaso di gerani (sei fuori come un balcone)","You are so out of it, more than a flower jar (you're out like a balcony)",0,10
"Và a Bagg a sonà l'orghen","Vai alla chiesa di San Baggio a suonare l'organo (non c'è organo nella chiesa)","Go to Baggio's church and play the organ (there is no organ there)",0,10
"Và a cà a fa rustì el lacc!","Vai a casa ad arrostire il latte!","Go home and roast some milk!",1,10
"Và a cà a petenà i gaenn!","Vai a casa a pettinare le galline!","Go home and comb chickens!",0,10
"Va a ciapà i ratt!","Vai ad acchiappare i topi! (vaffanculo)","Go hunt rats",0,10
"Va a dà via 'l cul!","Vai a donare il tuo culo! (vaffanculo)","Go give away your ass",0,10
"Và a scuà 'l mar!","Vai a pulire il mare!","Go clean the sea!",0,10
"Va bèn a fèr dal pugnàt!","Vai a masturbarti","Go wank yourself",0,10
"bìgol!",imbranato!,dolt!,0,17
Caora,Troia,Whore,1,17
Chegambraghe!,Smidollato!,"Shitty pants!",0,17
Coion,Coglione,Jerk,0,17
imbezile,imbecille,moron,0,17
Manz!,Scemo!,Silly!,0,17
baban,babbeo,sucker,0,7
"bacon di mone","pezzo d'idiota","piece of idiot",0,7
barbuzal!,tonto!,fool!,1,7
"basoâl!",tonto!,fool!,0,7
cavociar,"testa quadra (stupido)","square head (stupid)",0,7
cojon,coglione,jerk,0,7
dordel,ingenuo,gullible,0,7
dordei/dordel,ingenuo,gullible,0,7
"Facine mal leade","Fascina mal legata (fannullone)","Poorly tied brushwood (slacker)",0,7
"imbecîl",tonto!,fool!,1,7
"ingredeât",imbranato,clod,0,7
"inšemenît",tonto!,fool!,0,7
"là a cagà te vergis","vai a defecare tra le verze","go take a dump in a cabbage field",0,7
"ma te sòn bruzà?","ma sei bruciato?","Are you burnt? (something is wrong with you)",0,7
masocja,"radice del sedano (testardo)","celery root (stubborn)",0,7
mauc!,tonto!,fool!,0,7
pecjotar!,"straccione! (pecjot è uno straccio)","tramp! (pecjot is a rag, so who dresses with rag-like clothes)",1,7
sdrondine!,puttana!,whore!,0,7
snacaios!,"sei moccio!","you're mucus!",0,7
"te sòn fora come un pergolo","sei fuori come un balcone","You're out like a balcony (crazy)",0,7
"te sòn perso come l'austria","sei perso come l'austria (che crollò dopo la I guerra mondiale)","You're lost like Austria (Austro-Hungarian empire, which dominated Friuli Venezia Giulia until the end of world war I, when it collapsed)",0,7
"te sòn tuto fulminado","sei completamente fulminato","",0,7
"testa d'asino","čha' di mus","donkey face",0,7
